,time,open,high,low,close,volume
66,2020-01-07,4.0,4.0,4.0,4.0,0
67,2020-01-08,4.0,4.0,4.0,4.0,0
68,2020-01-09,4.0,4.0,4.0,4.0,0
69,2020-01-10,4.0,4.0,4.0,4.0,0
70,2020-01-13,4.0,4.0,4.0,4.0,0
71,2020-01-14,4.0,4.0,4.0,4.0,0
72,2020-01-15,4.0,4.0,4.0,4.0,0
73,2020-01-16,4.0,4.0,4.0,4.0,0
74,2020-01-17,4.0,4.0,4.0,4.0,0
75,2020-01-20,4.0,4.0,4.0,4.0,0
76,2020-01-21,4.0,4.0,4.0,4.0,0
77,2020-01-22,4.0,4.0,4.0,4.0,0
78,2020-01-30,4.0,4.0,4.0,4.0,0
79,2020-01-31,4.0,4.0,4.0,4.0,0
80,2020-02-03,4.0,4.0,4.0,4.0,0
81,2020-02-04,4.0,4.0,4.0,4.0,0
82,2020-02-05,4.0,4.0,4.0,4.0,0
83,2020-02-06,4.0,4.0,4.0,4.0,0
84,2020-02-07,4.0,4.0,4.0,4.0,0
85,2020-02-10,4.0,4.0,4.0,4.0,0
86,2020-02-11,4.0,4.0,4.0,4.0,0
87,2020-02-12,4.0,4.0,4.0,4.0,0
88,2020-02-13,4.0,4.0,4.0,4.0,0
89,2020-02-14,4.0,4.0,4.0,4.0,0
90,2020-02-17,4.0,4.0,4.0,4.0,0
91,2020-02-18,4.0,4.0,4.0,4.0,0
92,2020-02-19,4.0,4.0,4.0,4.0,0
93,2020-02-20,4.0,4.0,4.0,4.0,0
94,2020-02-21,4.0,4.0,4.0,4.0,0
95,2020-02-24,4.0,4.0,4.0,4.0,0
96,2020-02-25,4.0,4.0,4.0,4.0,0
97,2020-02-26,4.0,4.0,4.0,4.0,0
98,2020-02-27,4.0,4.0,4.0,4.0,0
99,2020-02-28,4.0,4.0,4.0,4.0,0
100,2020-03-02,4.0,4.0,4.0,4.0,0
101,2020-03-03,4.0,4.0,4.0,4.0,0
102,2020-03-04,4.0,4.0,4.0,4.0,0
103,2020-03-05,4.0,4.0,4.0,4.0,0
104,2020-03-06,4.0,4.0,4.0,4.0,0
105,2020-03-09,4.0,4.0,4.0,4.0,0
106,2020-03-10,4.0,4.0,4.0,4.0,0
107,2020-03-11,4.0,4.0,4.0,4.0,0
108,2020-03-12,4.0,4.0,4.0,4.0,0
109,2020-03-13,4.0,4.0,4.0,4.0,0
110,2020-03-16,4.0,4.0,4.0,4.0,0
111,2020-03-17,4.0,4.0,4.0,4.0,0
112,2020-03-18,4.0,4.0,4.0,4.0,0
113,2020-03-19,4.0,4.0,4.0,4.0,0
114,2020-03-20,4.0,4.0,4.0,4.0,0
115,2020-03-23,4.0,4.0,4.0,4.0,0
116,2020-03-24,4.0,4.0,4.0,4.0,0
117,2020-03-25,4.0,4.0,4.0,4.0,0
118,2020-03-26,4.0,4.0,4.0,4.0,0
119,2020-03-27,4.0,4.0,4.0,4.0,0
120,2020-03-30,4.0,4.0,4.0,4.0,0
121,2020-03-31,4.0,4.0,4.0,4.0,0
122,2020-04-01,4.0,4.0,4.0,4.0,0
123,2020-04-03,4.0,4.0,4.0,4.0,0
124,2020-04-06,4.0,4.0,4.0,4.0,0
125,2020-04-07,4.0,4.0,4.0,4.0,0
126,2020-04-08,4.0,4.0,4.0,4.0,0
127,2020-04-09,4.0,4.0,4.0,4.0,0
128,2020-04-10,4.0,4.0,4.0,4.0,0
129,2020-04-13,4.0,4.0,4.0,4.0,0
130,2020-04-14,4.0,4.0,4.0,4.0,0
131,2020-04-15,4.0,4.0,4.0,4.0,0
132,2020-04-16,4.0,4.0,4.0,4.0,0
133,2020-04-17,4.0,4.0,4.0,4.0,0
134,2020-04-20,4.0,4.0,4.0,4.0,0
135,2020-04-21,4.0,4.0,4.0,4.0,0
136,2020-04-22,4.0,4.0,4.0,4.0,0
137,2020-04-23,4.0,4.0,4.0,4.0,0
138,2020-04-24,4.0,4.0,4.0,4.0,0
139,2020-04-27,4.0,4.0,4.0,4.0,0
140,2020-04-28,4.0,4.0,4.0,4.0,0
141,2020-04-29,4.0,4.0,4.0,4.0,0
142,2020-05-04,4.0,4.0,4.0,4.0,0
143,2020-05-05,4.0,4.0,4.0,4.0,0
144,2020-05-06,4.0,4.0,4.0,4.0,0
145,2020-05-07,4.0,4.0,4.0,4.0,0
146,2020-05-08,4.0,4.0,4.0,4.0,0
147,2020-05-11,4.0,4.0,4.0,4.0,0
148,2020-05-12,4.0,4.0,4.0,4.0,0
149,2020-05-13,4.0,4.0,4.0,4.0,0
150,2020-05-14,4.0,4.0,4.0,4.0,0
151,2020-05-15,4.0,4.0,4.0,4.0,0
152,2020-05-18,4.0,4.0,4.0,4.0,0
153,2020-05-19,4.0,4.0,4.0,4.0,0
154,2020-05-20,4.0,4.0,4.0,4.0,0
155,2020-05-21,4.0,4.0,4.0,4.0,0
156,2020-05-22,4.0,4.0,4.0,4.0,0
157,2020-05-25,4.0,4.0,4.0,4.0,0
158,2020-05-26,4.0,4.0,4.0,4.0,0
159,2020-05-27,4.0,4.0,4.0,4.0,0
160,2020-05-28,4.0,4.0,4.0,4.0,0
161,2020-05-29,4.0,4.0,4.0,4.0,0
162,2020-06-01,4.0,4.0,4.0,4.0,0
163,2020-06-02,4.0,4.0,4.0,4.0,0
164,2020-06-03,4.0,4.0,4.0,4.0,0
165,2020-06-04,4.0,4.0,4.0,4.0,0
166,2020-06-05,4.0,4.0,4.0,4.0,0
167,2020-06-08,4.0,4.0,4.0,4.0,0
168,2020-06-09,4.0,4.0,4.0,4.0,0
169,2020-06-10,4.0,4.0,4.0,4.0,0
170,2020-06-11,4.0,4.0,4.0,4.0,0
171,2020-06-12,4.0,4.0,4.0,4.0,0
172,2020-06-15,4.0,4.0,4.0,4.0,0
173,2020-06-16,4.0,4.0,4.0,4.0,0
174,2020-06-17,4.0,4.0,4.0,4.0,0
175,2020-06-18,4.0,4.0,4.0,4.0,0
176,2020-06-19,4.0,4.0,4.0,4.0,0
177,2020-06-22,4.0,4.0,4.0,4.0,0
178,2020-06-23,4.0,4.0,4.0,4.0,0
179,2020-06-24,4.0,4.0,4.0,4.0,0
180,2020-06-25,4.0,4.0,4.0,4.0,0
181,2020-06-26,4.0,4.0,4.0,4.0,0
182,2020-06-29,4.0,4.0,4.0,4.0,0
183,2020-06-30,4.0,4.0,4.0,4.0,0
184,2020-07-01,4.0,4.0,4.0,4.0,0
185,2020-07-02,4.0,4.0,4.0,4.0,0
186,2020-07-03,4.0,4.0,4.0,4.0,0
187,2020-07-06,4.0,4.0,4.0,4.0,0
188,2020-07-07,4.0,4.0,4.0,4.0,0
189,2020-07-08,4.0,4.0,4.0,4.0,0
190,2020-07-09,4.0,4.0,4.0,4.0,0
191,2020-07-10,4.0,4.0,4.0,4.0,0
192,2020-07-13,4.0,4.0,4.0,4.0,0
193,2020-07-14,4.0,4.0,4.0,4.0,0
194,2020-07-15,4.0,4.0,4.0,4.0,0
195,2020-07-16,4.0,4.0,4.0,4.0,0
196,2020-07-17,4.0,4.0,4.0,4.0,0
197,2020-07-20,4.0,4.0,4.0,4.0,0
198,2020-07-21,4.0,4.0,4.0,4.0,0
199,2020-07-22,4.0,4.0,4.0,4.0,0
200,2020-07-23,4.0,4.0,4.0,4.0,0
201,2020-07-24,4.0,4.0,4.0,4.0,0
202,2020-07-27,4.0,4.0,4.0,4.0,0
203,2020-07-28,4.0,4.0,4.0,4.0,0
204,2020-07-29,4.0,4.0,4.0,4.0,0
205,2020-07-30,4.0,4.0,4.0,4.0,0
206,2020-07-31,4.0,4.0,4.0,4.0,0
207,2020-08-03,4.0,4.0,4.0,4.0,0
208,2020-08-04,4.0,4.0,4.0,4.0,0
209,2020-08-05,4.0,4.0,4.0,4.0,0
210,2020-08-06,4.0,4.0,4.0,4.0,0
211,2020-08-07,4.0,4.0,4.0,4.0,0
212,2020-08-10,4.0,4.0,4.0,4.0,0
213,2020-08-11,4.0,4.0,4.0,4.0,0
214,2020-08-12,4.0,4.0,4.0,4.0,0
215,2020-08-13,4.0,4.0,4.0,4.0,0
216,2020-08-14,4.0,4.0,4.0,4.0,0
217,2020-08-17,4.0,4.0,4.0,4.0,0
218,2020-08-18,4.0,4.0,4.0,4.0,0
219,2020-08-19,4.0,4.0,4.0,4.0,0
220,2020-08-20,4.0,4.0,4.0,4.0,0
221,2020-08-21,4.0,4.0,4.0,4.0,0
222,2020-08-24,4.0,4.0,4.0,4.0,0
223,2020-08-25,4.0,4.0,4.0,4.0,0
224,2020-08-26,4.0,4.0,4.0,4.0,0
225,2020-08-27,4.0,4.0,4.0,4.0,0
226,2020-08-28,4.0,4.0,4.0,4.0,0
227,2020-08-31,4.0,4.0,4.0,4.0,0
228,2020-09-01,4.0,4.0,4.0,4.0,0
229,2020-09-03,4.0,4.0,4.0,4.0,0
230,2020-09-04,4.0,4.0,4.0,4.0,0
231,2020-09-07,4.0,4.0,4.0,4.0,0
232,2020-09-08,4.0,4.0,4.0,4.0,0
233,2020-09-09,4.0,4.0,4.0,4.0,0
234,2020-09-10,4.0,4.0,4.0,4.0,0
235,2020-09-11,4.0,4.0,4.0,4.0,0
236,2020-09-14,4.0,4.0,4.0,4.0,0
237,2020-09-15,4.0,4.0,4.0,4.0,0
238,2020-09-16,4.0,4.0,4.0,4.0,0
239,2020-09-17,4.0,4.0,4.0,4.0,0
240,2020-09-18,4.0,4.0,4.0,4.0,0
241,2020-09-21,4.0,4.0,4.0,4.0,0
242,2020-09-22,4.0,4.0,4.0,4.0,0
243,2020-09-23,4.0,4.0,4.0,4.0,0
244,2020-09-24,4.0,4.0,4.0,4.0,0
245,2020-09-25,4.0,4.0,4.0,4.0,0
246,2020-09-28,4.0,4.0,4.0,4.0,0
247,2020-09-29,4.0,4.0,4.0,4.0,0
248,2020-09-30,4.0,4.0,4.0,4.0,0
249,2020-10-01,4.0,4.0,4.0,4.0,0
250,2020-10-02,4.0,4.0,4.0,4.0,0
251,2020-10-05,4.0,4.0,4.0,4.0,0
252,2020-10-06,4.0,4.0,4.0,4.0,0
253,2020-10-07,4.0,4.0,4.0,4.0,0
254,2020-10-08,4.0,4.0,4.0,4.0,0
255,2020-10-09,4.0,4.0,4.0,4.0,0
256,2020-10-12,4.0,4.0,4.0,4.0,0
257,2020-10-13,4.0,4.0,4.0,4.0,0
258,2020-10-14,4.0,4.0,4.0,4.0,0
259,2020-10-15,4.0,4.0,4.0,4.0,0
260,2020-10-16,4.0,4.0,4.0,4.0,0
261,2020-10-19,4.0,4.0,4.0,4.0,0
262,2020-10-20,4.0,4.0,4.0,4.0,0
263,2020-10-21,4.0,4.0,4.0,4.0,0
264,2020-10-22,4.0,4.0,4.0,4.0,0
265,2020-10-23,4.0,4.0,4.0,4.0,0
266,2020-10-26,4.0,4.0,4.0,4.0,0
267,2020-10-27,4.0,4.0,4.0,4.0,0
268,2020-10-28,4.0,4.0,4.0,4.0,0
269,2020-10-29,4.0,4.0,4.0,4.0,0
270,2020-10-30,4.0,4.0,4.0,4.0,0
271,2020-11-02,4.0,4.0,4.0,4.0,0
272,2020-11-03,4.0,4.0,4.0,4.0,0
273,2020-11-04,4.0,4.0,4.0,4.0,0
274,2020-11-05,4.0,4.0,4.0,4.0,0
275,2020-11-06,4.0,4.0,4.0,4.0,0
276,2020-11-09,4.0,4.0,4.0,4.0,0
277,2020-11-10,4.0,4.0,4.0,4.0,0
278,2020-11-11,4.0,4.0,4.0,4.0,0
279,2020-11-12,4.0,4.0,4.0,4.0,0
280,2020-11-13,4.0,4.0,4.0,4.0,0
281,2020-11-16,4.0,4.0,4.0,4.0,0
282,2020-11-17,4.0,4.0,4.0,4.0,0
283,2020-11-18,4.0,4.0,4.0,4.0,0
284,2020-11-19,4.0,4.0,4.0,4.0,0
285,2020-11-20,4.0,4.0,4.0,4.0,0
286,2020-11-23,4.0,4.0,4.0,4.0,0
287,2020-11-24,4.0,4.0,4.0,4.0,0
288,2020-11-25,4.0,4.0,4.0,4.0,0
289,2020-11-26,4.0,4.0,4.0,4.0,0
290,2020-11-27,4.0,4.0,4.0,4.0,0
291,2020-11-30,4.0,4.0,4.0,4.0,0
292,2020-12-01,4.0,4.0,4.0,4.0,0
293,2020-12-02,4.0,4.0,4.0,4.0,0
294,2020-12-03,4.0,4.0,4.0,4.0,0
295,2020-12-04,4.0,4.0,4.0,4.0,0
296,2020-12-07,4.0,4.0,4.0,4.0,0
297,2020-12-08,4.0,4.0,4.0,4.0,0
298,2020-12-09,4.0,4.0,4.0,4.0,0
299,2020-12-10,4.0,4.0,4.0,4.0,0
300,2020-12-11,4.0,4.0,4.0,4.0,0
301,2020-12-14,4.0,4.0,4.0,4.0,0
302,2020-12-15,4.0,4.0,4.0,4.0,0
303,2020-12-16,4.0,4.0,4.0,4.0,0
304,2020-12-17,4.0,4.0,4.0,4.0,0
305,2020-12-18,4.0,4.0,4.0,4.0,0
306,2020-12-21,4.0,4.0,4.0,4.0,0
307,2020-12-22,4.0,4.0,4.0,4.0,0
308,2020-12-23,4.0,4.0,4.0,4.0,0
309,2020-12-24,4.0,4.0,4.0,4.0,0
310,2020-12-25,4.0,4.0,4.0,4.0,0
311,2020-12-28,4.0,4.0,4.0,4.0,0
312,2020-12-29,4.0,4.0,4.0,4.0,0
313,2020-12-30,4.0,4.0,4.0,4.0,0
314,2020-12-31,4.0,4.0,4.0,4.0,0
315,2021-01-04,4.0,4.0,4.0,4.0,0
316,2021-01-05,4.0,4.0,4.0,4.0,0
317,2021-01-06,4.0,4.0,4.0,4.0,0
318,2021-01-07,4.0,4.0,4.0,4.0,0
319,2021-01-08,4.0,4.0,4.0,4.0,0
320,2021-01-11,4.0,4.0,4.0,4.0,0
321,2021-01-12,4.0,4.0,4.0,4.0,0
322,2021-01-13,4.0,4.0,4.0,4.0,0
323,2021-01-14,4.0,4.0,4.0,4.0,0
324,2021-01-15,4.0,4.0,4.0,4.0,0
325,2021-01-18,4.0,4.0,4.0,4.0,0
326,2021-01-19,4.0,4.0,4.0,4.0,0
327,2021-01-20,4.0,4.0,4.0,4.0,0
328,2021-01-21,4.0,4.0,4.0,4.0,0
329,2021-01-22,4.0,4.0,4.0,4.0,0
330,2021-01-25,4.0,4.0,4.0,4.0,0
331,2021-01-26,4.0,4.0,4.0,4.0,0
332,2021-01-27,4.0,4.0,4.0,4.0,0
333,2021-01-28,4.0,4.0,4.0,4.0,0
334,2021-01-29,4.0,4.0,4.0,4.0,0
335,2021-02-01,4.0,4.0,4.0,4.0,0
336,2021-02-02,4.0,4.0,4.0,4.0,0
337,2021-02-03,4.0,4.0,4.0,4.0,0
338,2021-02-04,4.0,4.0,4.0,4.0,0
339,2021-02-05,4.0,4.0,4.0,4.0,0
340,2021-02-08,4.0,4.0,4.0,4.0,0
341,2021-02-09,4.0,4.0,4.0,4.0,0
342,2021-02-17,4.0,4.0,4.0,4.0,0
343,2021-02-18,4.0,4.0,4.0,4.0,0
344,2021-02-19,4.0,4.0,4.0,4.0,0
345,2021-02-22,4.0,4.0,4.0,4.0,0
346,2021-02-23,4.0,4.0,4.0,4.0,0
347,2021-02-24,4.0,4.0,4.0,4.0,0
348,2021-02-25,4.0,4.0,4.0,4.0,0
349,2021-02-26,4.0,4.0,4.0,4.0,0
350,2021-03-01,4.0,4.0,4.0,4.0,0
351,2021-03-02,4.0,4.0,4.0,4.0,0
352,2021-03-03,4.0,4.0,4.0,4.0,0
353,2021-03-04,4.0,4.0,4.0,4.0,0
354,2021-03-05,4.0,4.0,4.0,4.0,0
355,2021-03-08,4.0,4.0,4.0,4.0,0
356,2021-03-09,4.0,4.0,4.0,4.0,0
357,2021-03-10,4.0,4.0,4.0,4.0,0
358,2021-03-11,4.0,4.0,4.0,4.0,0
359,2021-03-12,4.0,4.0,4.0,4.0,0
360,2021-03-15,4.0,4.0,4.0,4.0,0
361,2021-03-16,4.0,4.0,4.0,4.0,0
362,2021-03-17,4.0,4.0,4.0,4.0,0
363,2021-03-18,4.0,4.0,4.0,4.0,0
364,2021-03-19,4.0,4.0,4.0,4.0,0
365,2021-03-22,4.0,4.0,4.0,4.0,0
366,2021-03-23,4.0,4.0,4.0,4.0,0
367,2021-03-24,4.0,4.0,4.0,4.0,0
368,2021-03-25,4.0,4.0,4.0,4.0,0
369,2021-03-26,4.0,4.0,4.0,4.0,0
370,2021-03-29,4.0,4.0,4.0,4.0,0
371,2021-03-30,4.0,4.0,4.0,4.0,0
372,2021-03-31,4.0,4.0,4.0,4.0,0
373,2021-04-01,4.0,4.0,4.0,4.0,0
374,2021-04-02,4.0,4.0,4.0,4.0,0
375,2021-04-05,4.0,4.0,4.0,4.0,0
376,2021-04-06,4.0,4.0,4.0,4.0,0
377,2021-04-07,4.0,4.0,4.0,4.0,0
378,2021-04-08,4.0,4.0,4.0,4.0,0
379,2021-04-09,4.0,4.0,4.0,4.0,0
380,2021-04-12,4.0,4.0,4.0,4.0,0
381,2021-04-13,4.0,4.0,4.0,4.0,0
382,2021-04-14,4.0,4.0,4.0,4.0,0
383,2021-04-15,4.0,4.0,4.0,4.0,0
384,2021-04-16,4.0,4.0,4.0,4.0,0
385,2021-04-19,4.0,4.0,4.0,4.0,0
386,2021-04-20,4.0,4.0,4.0,4.0,0
387,2021-04-22,4.0,4.0,4.0,4.0,0
388,2021-04-23,4.0,4.0,4.0,4.0,0
389,2021-04-26,4.0,4.0,4.0,4.0,0
390,2021-04-27,4.0,4.0,4.0,4.0,0
391,2021-04-28,4.0,4.0,4.0,4.0,0
392,2021-04-29,4.0,4.0,4.0,4.0,0
393,2021-05-04,4.0,4.0,4.0,4.0,0
394,2021-05-05,4.0,4.0,4.0,4.0,0
395,2021-05-06,4.0,4.0,4.0,4.0,0
396,2021-05-07,4.0,4.0,4.0,4.0,0
397,2021-05-10,4.0,4.0,4.0,4.0,0
398,2021-05-11,4.0,4.0,4.0,4.0,0
399,2021-05-12,4.0,4.0,4.0,4.0,0
400,2021-05-13,4.0,4.0,4.0,4.0,0
401,2021-05-14,4.0,4.0,4.0,4.0,0
402,2021-05-17,4.0,4.0,4.0,4.0,0
403,2021-05-18,4.0,4.0,4.0,4.0,0
404,2021-05-19,4.0,4.0,4.0,4.0,0
405,2021-05-20,4.0,4.0,4.0,4.0,0
406,2021-05-21,4.0,4.0,4.0,4.0,0
407,2021-05-24,4.0,4.0,4.0,4.0,0
408,2021-05-25,4.0,4.0,4.0,4.0,0
409,2021-05-26,4.0,4.0,4.0,4.0,0
410,2021-05-27,4.0,4.0,4.0,4.0,0
411,2021-05-28,4.0,4.0,4.0,4.0,0
412,2021-05-31,4.0,4.0,4.0,4.0,0
413,2021-06-01,4.0,4.0,4.0,4.0,0
414,2021-06-02,4.0,4.0,4.0,4.0,0
415,2021-06-03,4.0,4.0,4.0,4.0,0
416,2021-06-04,4.0,4.0,4.0,4.0,0
417,2021-06-07,4.0,4.0,4.0,4.0,0
418,2021-06-08,4.0,4.0,4.0,4.0,0
419,2021-06-09,4.0,4.0,4.0,4.0,0
420,2021-06-10,4.0,4.0,4.0,4.0,0
421,2021-06-11,4.0,4.0,4.0,4.0,0
422,2021-06-14,4.0,4.0,4.0,4.0,0
423,2021-06-15,4.0,4.0,4.0,4.0,0
424,2021-06-16,4.0,4.0,4.0,4.0,0
425,2021-06-17,4.0,4.0,4.0,4.0,0
426,2021-06-18,4.0,4.0,4.0,4.0,0
427,2021-06-21,4.0,4.0,4.0,4.0,0
428,2021-06-22,4.0,4.0,4.0,4.0,0
429,2021-06-23,4.0,4.0,4.0,4.0,0
430,2021-06-24,4.0,4.0,4.0,4.0,0
431,2021-06-25,4.0,4.0,4.0,4.0,0
432,2021-06-28,4.0,4.0,4.0,4.0,0
433,2021-06-29,4.0,4.0,4.0,4.0,0
434,2021-06-30,4.0,4.0,4.0,4.0,0
435,2021-07-01,4.0,4.0,4.0,4.0,0
436,2021-07-02,4.0,4.0,4.0,4.0,0
437,2021-07-05,4.0,4.0,4.0,4.0,0
438,2021-07-06,4.0,4.0,4.0,4.0,0
439,2021-07-07,4.0,4.0,4.0,4.0,0
440,2021-07-08,4.0,4.0,4.0,4.0,0
441,2021-07-09,4.0,4.0,4.0,4.0,0
442,2021-07-12,4.0,4.0,4.0,4.0,0
443,2021-07-13,4.0,4.0,4.0,4.0,0
444,2021-07-14,4.0,4.0,4.0,4.0,0
445,2021-07-15,4.0,4.0,4.0,4.0,0
446,2021-07-16,4.0,4.0,4.0,4.0,0
447,2021-07-19,4.0,4.0,4.0,4.0,0
448,2021-07-20,4.0,4.0,4.0,4.0,0
449,2021-07-21,4.0,4.0,4.0,4.0,0
450,2021-07-22,4.0,4.0,4.0,4.0,0
451,2021-07-23,4.0,4.0,4.0,4.0,0
452,2021-07-26,4.0,4.0,4.0,4.0,0
453,2021-07-27,4.0,4.0,4.0,4.0,0
454,2021-07-28,4.0,4.0,4.0,4.0,0
455,2021-07-29,4.0,4.0,4.0,4.0,0
456,2021-07-30,4.0,4.0,4.0,4.0,0
457,2021-08-02,4.0,4.0,4.0,4.0,0
458,2021-08-03,4.0,4.0,4.0,4.0,0
459,2021-08-04,4.0,4.0,4.0,4.0,0
460,2021-08-05,4.0,4.0,4.0,4.0,0
461,2021-08-06,4.0,4.0,4.0,4.0,0
462,2021-08-09,4.0,4.0,4.0,4.0,0
463,2021-08-10,4.0,4.0,4.0,4.0,0
464,2021-08-11,4.0,4.0,4.0,4.0,0
465,2021-08-12,4.0,4.0,4.0,4.0,0
466,2021-08-13,4.0,4.0,4.0,4.0,0
467,2021-08-16,4.0,4.0,4.0,4.0,0
468,2021-08-17,4.0,4.0,4.0,4.0,0
469,2021-08-18,4.0,4.0,4.0,4.0,0
470,2021-08-19,4.0,4.0,4.0,4.0,0
471,2021-08-20,4.0,4.0,4.0,4.0,0
472,2021-08-23,4.0,4.0,4.0,4.0,0
473,2021-08-24,4.0,4.0,4.0,4.0,0
474,2021-08-25,4.0,4.0,4.0,4.0,0
475,2021-08-26,4.0,4.0,4.0,4.0,0
476,2021-08-27,4.0,4.0,4.0,4.0,0
477,2021-08-30,4.0,4.0,4.0,4.0,0
478,2021-08-31,4.0,4.0,4.0,4.0,0
479,2021-09-01,4.0,4.0,4.0,4.0,0
480,2021-09-06,4.0,4.0,4.0,4.0,0
481,2021-09-07,4.0,4.0,4.0,4.0,0
482,2021-09-08,4.0,4.0,4.0,4.0,0
483,2021-09-09,4.0,4.0,4.0,4.0,0
484,2021-09-10,4.0,4.0,4.0,4.0,0
485,2021-09-13,4.0,4.0,4.0,4.0,0
486,2021-09-14,4.0,4.0,4.0,4.0,0
487,2021-09-15,4.0,4.0,4.0,4.0,0
488,2021-09-16,4.0,4.0,4.0,4.0,0
489,2021-09-17,4.0,4.0,4.0,4.0,0
490,2021-09-20,4.0,4.0,4.0,4.0,0
491,2021-09-21,4.0,4.0,4.0,4.0,0
492,2021-09-22,4.0,4.0,4.0,4.0,0
493,2021-09-23,4.0,4.0,4.0,4.0,0
494,2021-09-24,4.0,4.0,4.0,4.0,0
495,2021-09-27,4.0,4.0,4.0,4.0,0
496,2021-09-28,4.0,4.0,4.0,4.0,0
497,2021-09-29,4.0,4.0,4.0,4.0,0
498,2021-09-30,4.0,4.0,4.0,4.0,0
499,2021-10-01,4.0,4.0,4.0,4.0,0
500,2021-10-04,4.0,4.0,4.0,4.0,0
501,2021-10-05,4.0,4.0,4.0,4.0,0
502,2021-10-06,4.0,4.0,4.0,4.0,0
503,2021-10-07,4.0,4.0,4.0,4.0,0
504,2021-10-08,4.0,4.0,4.0,4.0,0
505,2021-10-11,4.0,4.0,4.0,4.0,0
506,2021-10-12,4.0,4.0,4.0,4.0,0
507,2021-10-13,4.0,4.0,4.0,4.0,0
508,2021-10-14,4.0,4.0,4.0,4.0,0
509,2021-10-15,4.0,4.0,4.0,4.0,0
510,2021-10-18,4.0,4.0,4.0,4.0,0
511,2021-10-19,4.0,4.0,4.0,4.0,0
512,2021-10-20,4.0,4.0,4.0,4.0,0
513,2021-10-21,4.0,4.0,4.0,4.0,0
514,2021-10-22,4.0,4.0,4.0,4.0,0
515,2021-10-25,4.0,4.0,4.0,4.0,0
516,2021-10-26,4.0,4.0,4.0,4.0,0
